STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
MINNESOTA,5616292,1997,July,F1,45.4,-93.37,45.4,-93.37,0,0,0,0,,
MINNESOTA,5616293,1997,July,F1,45.27,-92.95,45.28,-92.92,0,0,0,0,,
MINNESOTA,5616294,1997,July,F0,44.85,-94.98,44.85,-94.98,0,0,0,0,,
MINNESOTA,5616295,1997,July,F0,44.95,-94.93,44.95,-94.93,0,0,0,0,,
OHIO,5617251,1997,August,F0,41.13,-81.87,41.13,-81.87,0,0,0,0,20K,
OHIO,5617252,1997,August,F1,41.03,-81.75,41.03,-81.75,0,0,0,0,.5M,
MINNESOTA,5618134,1997,August,F0,44.4,-93.72,44.4,-93.62,0,0,0,0,,
MINNESOTA,5618137,1997,August,F1,44.28,-92.82,44.37,-92.77,0,0,0,0,,
MINNESOTA,5618138,1997,August,F0,44.42,-92.6,44.42,-92.6,0,0,0,0,,
TEXAS,5611316,1997,June,F0,35.32,-100.32,35.32,-100.32,0,0,0,0,,
TEXAS,5611317,1997,June,F1,35.28,-100.58,35.17,-100.57,0,0,0,0,,
INDIANA,5614805,1997,August,F0,37.98,-87.65,37.98,-87.65,0,0,0,0,,
TENNESSEE,5602896,1997,July,F0,36.1,-83.55,36.12,-83.48,0,0,0,0,25K,
PENNSYLVANIA,5615953,1997,July,F0,41.53,-78.02,41.53,-78.02,0,0,0,0,,
MINNESOTA,5616223,1997,July,F1,45.62,-95.25,45.62,-95.25,0,0,0,0,,
MINNESOTA,5616224,1997,July,F0,45.07,-94.35,45.07,-94.3,0,0,0,0,,
MINNESOTA,5616225,1997,July,F1,45.05,-94,45.07,-93.98,0,0,0,0,,
MINNESOTA,5616226,1997,July,F3,45.12,-94.02,45.17,-93.93,0,0,0,0,,
FLORIDA,5616313,1997,June,F0,27.22,-81.83,27.22,-81.83,0,0,0,0,1K,0
FLORIDA,5616318,1997,June,F0,26.6,-81.97,26.6,-81.97,0,0,0,0,214K,0
COLORADO,5614154,1997,August,F0,40.95,-102.18,40.95,-102.18,0,0,0,0,0,0
FLORIDA,5617337,1997,July,F1,28.3,-81.4,28.3,-81.4,0,0,0,0,200K,
MINNESOTA,5606638,1997,July,F0,47.7,-96.15,47.7,-96.15,0,0,0,0,,
MINNESOTA,5606643,1997,July,F0,47.93,-96.45,47.93,-96.45,0,0,0,0,,
MINNESOTA,5606645,1997,July,F0,47.78,-96.27,47.78,-96.27,0,0,0,0,,
MINNESOTA,5606647,1997,July,F0,47.87,-96.28,47.87,-96.28,0,0,0,0,,
OHIO,5611988,1997,July,F0,40.1,-83.12,40.1,-83.12,0,0,0,0,30K,
NEBRASKA,5612737,1997,June,F0,41.5,-96.63,41.47,-96.5,0,0,0,0,,
SOUTH CAROLINA,5588787,1997,February,F0,35.13,-81.25,35.15,-81.27,0,0,0,0,,
MAINE,5624986,1997,July,F0,47.25,-68.67,47.25,-68.67,0,0,0,0,,
TEXAS,5606739,1997,June,F0,33.58,-102.62,33.58,-102.62,0,0,0,0,5K,0
SOUTH CAROLINA,5608864,1997,July,F0,34.4,-82.32,34.4,-82.32,0,0,0,0,2K,
ARIZONA,5613961,1997,August,F0,31.52,-110.27,31.52,-110.27,0,0,0,0,,
SOUTH DAKOTA,5615855,1997,August,F0,45.03,-100.52,45.03,-100.52,0,0,0,0,,
