STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
OHIO,5606184,1997,June,,,,,,0,0,0,0,,
OHIO,5606185,1997,June,,,,,,0,0,0,0,25K,
OHIO,5606186,1997,June,,,,,,0,0,0,0,75K,
ILLINOIS,5601930,1997,June,,,,,,0,0,0,0,3K,
LOUISIANA,5607017,1997,June,,,,,,0,0,0,0,10K,
IOWA,5586129,1997,February,,,,,,0,0,0,0,,
IOWA,5586127,1997,February,,,,,,0,0,0,0,,
IOWA,5585535,1997,February,,,,,,0,0,0,0,,
INDIANA,5585950,1997,February,,,,,,0,0,0,0,,
MINNESOTA,5601596,1997,June,,,,,,0,0,0,0,50K,
MONTANA,5604645,1997,June,,,,,,0,0,0,0,,
INDIANA,5585921,1997,February,,,,,,0,0,0,0,,
INDIANA,5585922,1997,February,,,,,,0,0,0,0,,
IOWA,5586135,1997,February,,,,,,0,0,0,0,.75M,
KANSAS,5587270,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588283,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588284,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588285,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588286,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588287,1997,February,,,,,,0,0,0,0,,
IOWA,5605550,1997,April,,,,,,0,0,0,0,,
CALIFORNIA,5590333,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590334,1997,January,,,,,,0,0,0,0,,
MINNESOTA,5605468,1997,April,,,,,,0,0,0,0,,
IOWA,5586114,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588267,1997,February,,,,,,0,0,0,0,,
SOUTH DAKOTA,5605465,1997,April,,,,,,0,0,0,0,,
CALIFORNIA,5590332,1997,January,,,,,,0,0,0,0,,
IOWA,5586134,1997,February,,,,,,0,0,0,0,,
IOWA,5586126,1997,February,,,,,,0,0,0,0,,
IOWA,5586121,1997,February,,,,,,0,0,0,0,,
SOUTH DAKOTA,5605370,1997,May,,,,,,0,0,0,0,,
MINNESOTA,5602048,1997,April,,,,,,0,0,0,0,,
IOWA,5585528,1997,February,,,,,,0,0,0,0,,
IOWA,5585534,1997,February,,,,,,0,0,0,0,,
SOUTH DAKOTA,5605365,1997,May,,,,,,0,0,0,0,,
IOWA,5585533,1997,February,,,,,,0,0,0,0,,
MONTANA,5587797,1997,January,,,,,,0,0,0,0,,
IOWA,5585531,1997,February,,,,,,0,0,0,0,,
IOWA,5585537,1997,February,,,,,,0,0,0,0,,
CALIFORNIA,5587194,1997,January,,,,,,0,0,0,0,,
IOWA,5586119,1997,February,,,,,,0,0,0,0,,
TEXAS,5587930,1997,February,,,,,,0,0,0,0,50K,
NEBRASKA,5590751,1997,February,,,,,,0,0,0,0,,
INDIANA,5585939,1997,February,,,,,,0,0,0,0,,
INDIANA,5585952,1997,February,,,,,,0,0,0,0,,
NEBRASKA,5590756,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5591262,1997,February,,,,,,0,0,0,0,,
INDIANA,5585932,1997,February,,,,,,0,0,0,0,,
CALIFORNIA,5587195,1997,January,,,,,,0,0,0,0,,
MISSOURI,5587280,1997,February,,,,,,0,0,0,0,,
INDIANA,5585933,1997,February,,,,,,0,0,0,0,,
IOWA,5586133,1997,February,,,,,,0,0,0,0,,
PUERTO RICO,5599304,1997,January,,,,,,0,0,0,0,,
MICHIGAN,5588292,1997,February,,,,,,0,0,0,0,,
NEVADA,5590159,1997,January,,,,,,0,0,0,0,0,
NEVADA,5590160,1997,January,,,,,,0,0,0,0,0,
CALIFORNIA,5590161,1997,January,,,,,,0,0,0,0,.33B,
CALIFORNIA,5590162,1997,January,,,,,,1,0,0,0,0,
CALIFORNIA,5590163,1997,January,,,,,,1,0,0,0,0,
IOWA,5586117,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587469,1997,February,,,,,,0,0,0,0,,
TENNESSEE,5592154,1997,May,,,,,,0,0,0,0,,
MICHIGAN,5588268,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588269,1997,February,,,,,,0,0,0,0,,
INDIANA,5585931,1997,February,,,,,,0,0,0,0,,
INDIANA,5585944,1997,February,,,,,,0,0,0,0,,
INDIANA,5585948,1997,February,,,,,,0,0,0,0,,
IOWA,5586120,1997,February,,,,,,0,0,0,0,,
IOWA,5586125,1997,February,,,,,,0,0,0,0,,
IOWA,5598901,1997,June,,,,,,0,0,0,0,,
INDIANA,5585943,1997,February,,,,,,0,0,0,0,,
IOWA,5598900,1997,June,,,,,,0,0,0,0,,
MICHIGAN,5588266,1997,February,,,,,,0,0,0,0,,
IOWA,5586116,1997,February,,,,,,0,0,0,0,,
OREGON,5600574,1997,January,,,,,,0,0,0,0,9.9M,
